article type,Article Number,link,Journal,Year,Author,Host,Host_name,Host_number,Pathogen group,Pathogen_group_number,Pathogen_species,Pathogen_species_number,Environment,Environment_number,Inoculation (yes/no),Disease variable,scale_type,Author's definition,min,max,Description,Measure reference,Disease index?,Sample unit (type),Sample size,Observation,Transformation,anova_type,means_separation,Replicates_n,Replicates_max,Units_per_replicate,Sample_size_parse_status,,analysis_method,analysis_family,comparison_methods,comparison_number,comparison_family
original article,1,https://doi.org/10.1007/s13313-011-0088-0,Australasian Plant Pathology,2011,"B. L. Shearer, C. E. Crane",Lambertia taxa,Lambertia,1,Oomycete,1,Phytophthora cinnamomi,1,Greenhouse / Shadehouse,2,Yes,Incidence,Continuous,Percentage plant mortality calculated for assessment times after inoculation,0,100,Disease progress curves of percentage plant mortality modelled with logistic model,Meyer et al. 1999 (Loglet Lab),No,Pot / Plant,10 replicates (single plant per pot),Thrice weekly for 5 months,Log,Anova,Fisher LSD,10,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,8,https://doi.org/10.1007/s13313-011-0090-6,Australasian Plant Pathology,2011,"J. M. Anderson, K. G. Pegg, C. Scott, A. Drenth",Pineapple,Pineapple,1,Oomycete,1,Phytophthora cinnamomi,1,Greenhouse / Field,2,Yes,Incidence,Continuous,Percentage of dead plants out of total plants per plot,0,100,Incidence of heart rot recorded as percentage of dead plants out of 30 plants per plot,,No,Plot,2 replications with 30 plants per plot,"11, 14, 20 weeks after planting",Angular transformation,Repeated Measures Anova,Fisher LSD,2,,30,Parsed replicate count,,Repeated-measures ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,16,https://doi.org/10.1007/s13313-011-0101-7,Australasian Plant Pathology,2011,"Mary Grace B. Saldajeno, Masanori Ito, Mitsuro Hyakumachi","Cucumber, bentgrass, tomato","Cucumber, bentgrass, tomato",3,Fungi,1,Rhizoctonia solani AG-4 / Rhizoctonia solani AG2-2 / Fusarium oxysporum f. sp. radicis-lycopersici,3,Growth chamber / Greenhouse,2,Yes,Severity,Ordinal,Sum of DI/total number of plants. DI on a 0-4 scale for each,0,4,Disease severity calculated based on disease index 0-4,,Yes,Plant,"3 replicates, repeated at least thrice. n=12 (cucumber), n=9 (bentgrass, tomato)","7 days (cucumber), 7 weeks (bentgrass), 10 weeks (tomato)",,Anova (two-way),Fisher LSD,3,,,Parsed replicate count,,Two-way ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,18,https://doi.org/10.1007/s13313-011-0107-1,Australasian Plant Pathology,2011,"Patrícia Baston Barretti, Ricardo Magela de Souza, Edson Ampélio Pozza, Jorge Teodoro de Souza",Tomato,Tomato,1,Bacteria,1,Ralstonia solanacearum,1,Greenhouse,1,Yes,AUDPC,Continuous,AUDPC calculated from disease severity assessed every 5 days using Winstead and Kelman scale,0,,AUDPC based on disease severity,Shaner and Finney (1977); Winstead and Kelman (1952),No,Plant,2 plants per experimental plot in 4 or 5 replicates,30 days after inoculation,,Anova,Scott-Knott,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Scott–Knott,1,Multiple-comparison procedure
original article,34,https://doi.org/10.1007/s13313-011-0113-3,Australasian Plant Pathology,2012,"Kirstin Lee McLean, Mark Braithwaite, Jayanthi Swaminathan, Alison Stewart",Onion,Onion,1,Fungi,1,Stromatinia cepivora,1,Field,1,No,Incidence,Continuous,Percentage disease calculated relative to plant emergence,0,100,Number of diseased plants over emerged plants,,No,Plot,4 to 6 replicate plots depending on the trial,Monthly intervals following seed sowing,,Anova,Fisher LSD,4,6,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,35,https://doi.org/10.1007/s13313-012-0119-5,Australasian Plant Pathology,2012,"Li-Hua Chen, Ya-Qing Cui, Xing-Ming Yang, Di-Kun Zhao, Qi-Rong Shen",Cucumber,Cucumber,1,Fungi,1,Fusarium oxysporum f. sp. cucumerinum,1,Laboratory / Greenhouse,2,Yes,Index / Dry weight,Continuous,"Disease index based on a scale of 5 (0: healthy, 5: whole plant died), converted to percentage",0,100,"Wilt development rated on a scale of 0-5, converted to percentage disease index",Chen et al. 2011a,Yes,Pot / Plant,"3 replicates, 5 plants per pot",Every day after transplanting,,Anova,Duncan's MRT,3,,5,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,36,https://doi.org/10.1007/s13313-012-0138-2,Australasian Plant Pathology,2012,"Ma. Eugenia Cisneros-Lopez, Leopoldo E. Mendoza-Onofre, Victor E. Gonzalez-Hernandez, Noe Montes-Garcia",Sorghum,Sorghum,1,Fungi,1,Claviceps africana,1,Field,1,No,Incidence / Severity,Continuous,Incidence = number of plants showing signs; Severity = average percentage of florets with ergot symptoms,0,100,"Disease severity visually rated using a specific percentage scale (0, 1, 5, 10, or 20%)",,Yes,Plot / Panicle,4 to 12 replications depending on row ratio,Once physiological seed maturity stage was reached,Arcsine transformed,Anova,Tukey's HSD,4,12,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,39,https://doi.org/10.1007/s13313-012-0180-0,Australasian Plant Pathology,2013,"A. Watson, S. L. Browne, M. G. Snudden, E. M. Mudford",Bean,Bean,1,Oomycete,1,Aphanomyces euteiches,1,Greenhouse / Field,2,Yes,Incidence / Severity,Continuous,"Disease ratings from 0 to 5 (0=no disease, 5=severe necrosis) or percentage of plants with hypocotyl lesions",0,100,Disease assessed by examining hypocotyl region for browning (0-5 scale) or % of plants with lesions,,Yes,Pot / Plot,"Various (e.g. 10 pots with 5 seeds each, 3 replicates)","Various (e.g. 1 month after sowing, 4 weeks, 6 weeks)",,GLMM,Fisher LSD,3,,,Parsed replicate count,,GLMM,Mixed model,Fisher's LSD,1,Multiple-comparison procedure
original article,57,https://doi.org/10.1007/s13313-015-0394-z,Australasian Plant Pathology,2016,"M. Khani, J. A. Davidson, M. R. Sosnowski, E. S. Scott",Field pea,Field pea,1,Fungi,1,Phoma koolunga,1,Growth chamber,1,Yes,Index,Ordinal,"Necrotic index = sum(ni * di) / N, where ni is number of seedlings in each disease category, di is the value of disease category and N is the total number of seedlings assessed based on a 0 to 5 scale",0,5,Necrotic index or disease severity score based on a 0-5 scale,"Moussart et al. (1998)"";""Onfroy et al. (2009)",Yes,Plant,"four replications, each with 20 seeds",21 days post-inoculation,,Anova,,4,,20,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,79,https://doi.org/10.1007/s13313-017-0467-2,Australasian Plant Pathology,2017,"K. L. Nechet, E. S. D. Vilela, D. W. Heck, D. Terao, B. A. Halfeld-Vieira",Strawberry,Strawberry,1,Fungi,1,Botrytis cinerea,1,Field,1,Yes,Incidence,Continuous,incidence of B. cinerea,0,100,Incidence of Botrytis cinerea (gray mold),,No,Plant,,during five weeks per season,,Anova,Tukey's HSD,,,,Not reported,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,89,https://doi.org/10.1007/s13313-017-0496-x,Australasian Plant Pathology,2017,"R. Mostowfizadeh-Ghalamfarsa, K. Hussaini, R. Ghasemi-Fasaei",Pistachio,Pistachio,1,Oomycete,1,Phytophthora pistaciae,1,Greenhouse,1,Yes,Incidence,Continuous,percentage of colonized roots and the mortality of the hosts,0,100,Percentage of colonized roots and host mortality,,No,Plant,four replications for each combination,,,Anova,Duncan's MRT,4,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,100,https://doi.org/10.1007/s13313-018-0598-0,Australasian Plant Pathology,2018,"E. A. Sandoval Cruz, C. R. McGill, R. C. Southward, C. M. McKenzie, S. D. Card, X. Z. He, M. Wang, M. P. Rolston, R. J. Chynoweth",Perennial ryegrass,Perennial ryegrass,1,Fungi,1,Gloeotinia temulenta,1,Field,1,Yes,Incidence,Continuous,assess blind seed incidence,0,100,Incidence of blind seed disease assessed on non-germinated seed,Matthews (1981),No,Seed,four times in a randomised block design,14 days,,,Fisher LSD,,,,"Reported, complex/unparsed",,Not reported,Not reported,Fisher's LSD,1,Multiple-comparison procedure
original article,119,https://doi.org/10.1007/s13313-018-0594-4,Australasian Plant Pathology,2018,"T. T. T. Tran, T. Q. Pham, Paul A. Barber, C. M. Nguyen",Acacia,Acacia,1,Fungi,1,Ceratocystis manginecans,1,Greenhouse,1,Yes,Index,Ordinal,DI = sum(class of disease score x number of seedlings in class) / total number of seedlings... 0-4 scale,0,4,Disease index estimating the severity of Ceratocystis wilt based on a 0-4 scale,,Yes,Plant,,After 40 days,,Anova,Duncan's MRT,,,,Not reported,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,149,https://doi.org/10.1007/s13313-019-00636-0,Australasian Plant Pathology,2019,"Shashikant B. Ghule, Indu S. Sawant, Sanjay D. Sawant, Sujoy Saha, R. M. Devarumath",Grapevine,Grapevine,1,Fungi,1,Erysiphe necator,1,Field,1,No,Severity,Ordinal,"ratings 0-5 scale... 0 = no infection, 1 = 1%-10% of the leaf area infected... 5 = 76%-100% powdery mildew infection",0,5,Powdery mildew severity on leaves based on a 0-5 scale of infected area,Horsfall and Heuberger 1942,Yes,Leaf,100 leaves per replicate,,,Anova,Duncan's MRT,,,100,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,154,https://doi.org/10.1007/s13313-020-00695-8,Australasian Plant Pathology,2020,"A. Wilson, W. S. Cuddy, R. F. Park, G. F. S. Harm, M. J. Priest, J. Bailey, M. C. Moffitt",Wheat,Wheat,1,Fungi,1,Puccinia triticina,1,Laboratory,1,Yes,Severity,Continuous,rust pustule number,0,,Number of rust pustules on leaf sections,,No,Leaf,Three replicates,,,,Tukey's HSD,3,,,Parsed replicate count,,Not reported,Not reported,Tukey,1,Multiple-comparison procedure
original article,202,https://doi.org/10.1007/s13313-021-00783-3,Australasian Plant Pathology,2021,"P. A. Rheinlander, P. W. Sutherland, P. A. G. Elmer",Kiwifruit,Kiwifruit,1,Bacteria,1,Pseudomonas syringae pv. actinidiae,1,Laboratory,1,Yes,Pathogen cell size,Continuous,length and width of Psa cells,0,,Length and width of Psa cells measured in micrometers,,No,Cell,total of 113 and 93 cells,"7 days after inoculation, 10 days after inoculation",,Anova,,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,221,https://doi.org/10.1007/s13313-021-00836-7,Australasian Plant Pathology,2022,"Gabriel Martins Ferreira, Rafaele Regina Moreira, Tiago Miguel Jarek, Cristiano Nunes Nesi, Luiz Antonio Biasi & Louise Larissa May De Mio",Vitis labrusca,Fox grape,1,Fungi,1,Plasmopara viticola,1,Field,1,Yes,Severity,Continuous,Percentage,0,100,Disease severity (AUDPC) evaluated as percentage area,Azevedo,No,Plant / Leaf,3 plants,,,Anova,Bartlett test,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,t-test / Bartlett,2,Pairwise test / Other
original article,225,https://doi.org/10.1007/s13313-022-00877-6,Australasian Plant Pathology,2022,J. A. Davidson,Pisum sativum,Pea,1,Fungi,1,Didymella pinodes / Ascochyta pisi,2,Field,1,Yes,Index,Continuous,,0,100,Disease Index per plot based on node scores,Davidson,No,Plot,3 replicate blocks (5 plants per plot),mid-flowering,,Anova,,3,,5,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,226,https://doi.org/10.1007/s13313-022-00852-1,Australasian Plant Pathology,2022,"J. M. Anderson, J. R. Dean, K. G. Pegg",Pineapple,Pineapple,1,Fungi,1,Ceratocystis paradoxa,1,Laboratory,1,Yes,Average daily growth rate / Incidence / Severity,Ordinal,"0=no infection"";""5=complete colonisation of cut stem+all basal leaves",0,5,Base rot severity,,Yes,Crown,"20 fresh crowns, 6 well-cured crowns, or 20 crowns per treatment",,square root transformed,Anova / Kruskal-Wallis,Bonferroni adjustment,,,,"Reported, complex/unparsed",,ANOVA / Kruskal–Wallis,Parametric / Nonparametric,Bonferroni,1,Multiplicity adjustment
original article,232,https://doi.org/10.1007/s13313-022-00879-4,Australasian Plant Pathology,2022,"Matias Silva-Campos, Md Tohidul Islam, David M. Cahill",Sweet chestnut,Sweet chestnut,1,Fungi,1,Gnomoniopsis smithogilvyi,1,Laboratory / Field,2,Yes,Conidial germination inhibition / Mycelial growth inhibition / Severity,Continuous,MGI (%) = [(MGcontrol - MGtreatment) / MGcontrol] x 100. Percentage of infection per tissue relative to total samples analysed.,0,100,"Conidial germination, Mycelial growth, Tissue infection percentage",,No,Petri dish / Flower,"Triplicate (in vitro), 4 trees per treatment (field)",,Arcsin square-root,Anova (two-way),Fisher LSD,,,4,"Reported, complex/unparsed",,Two-way ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,273,https://doi.org/10.1007/s13313-023-00906-y,Australasian Plant Pathology,2023,Unknown,Corylus avellana,European hazelnut,1,Fungi,1,Cryptosporiopsis tarraconensis,1,Laboratory,1,Yes,Lesion size,Continuous,mm or cm,0,,Diameters of the spots formed on the leaves,,No,Leaf,5 replicates,2 weeks,,Anova,Duncan's MRT,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,274,https://doi.org/10.1007/s13313-023-00949-1,Australasian Plant Pathology,2023,Unknown,Triticum aestivum,Bread wheat,1,Fungi,1,Puccinia triticina,1,Field,1,Yes,Severity,Ordinal,0-9 scale,0,9,Percent disease severity recorded using modified Cobb scale (0-9),Cobb,No,Plot,,,,,,,,,Not reported,,Not reported,Not reported,Not reported,0,Not reported
original article,278,https://doi.org/10.1007/s13313-024-00974-8,Australasian Plant Pathology,2024,"Alyssa M. Martino, Robert F. Park, Peri A. Tobias",Melaleuca spp.,Melaleuca,1,Fungi,1,Austropuccinia psidii,1,Greenhouse,1,Yes,Severity,Ordinal,1-5 scoring system: 1 = Completely Resistant (No visible symptoms);2 = Highly Resistant (Chlorotic or necrotic spots/blotches);3 = Low Susceptibility (Necrotic flecks with limited sporulation);4 = Moderate Susceptibility (Abundant sporulation with necrotic halos);5 = High Susceptibility (Abundant sporulation with no visible necrosis),1,5,Myrtle rust infection score,Morin et al. (2012),No,Plant,11-80 plants per species,,,,,,,,"Reported, complex/unparsed",,Not reported,Not reported,Not reported,0,Not reported
original article,286,https://doi.org/10.1007/s13313-024-00968-6,Australasian Plant Pathology,2024,"Giti Alizadeh-Moghaddam, Mehdi Nasr-Esfahani, Arman Nasr-Esfahani, Leila Mohammadbagheri",Solanum lycopersicum,Tomato,1,Fungi,1,Alternaria alternata,1,Field,1,Yes,Severity / AUDPC,Continuous,Percentage,0,100,Disease severity (%) and AUDPC based on a 0-5 scoring scale,Nasr-Esfahani / Tehrani et al.,No,Plant,4 replications (40 plants each),"Flowering, fruiting and maturing stages",,Anova,Fisher LSD,4,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,340,https://doi.org/10.1007/s13313-025-01022-9,Australasian Plant Pathology,2025,"Wenzhuo Sun, Weihu Ma, Jingyu Ji, Yajun Wang, Bing Bi, Jie Zhang, Guocai C. Zhang",Pinus sylvestris,Scots pine,1,Fungi,1,Pestalotiopsis neglecta,1,Greenhouse,1,Yes,Lesion size,Continuous,Area,,,Lesion area,,No,Plant,3 replicates,"7, 14, 21 days",,Anova,Duncan's MRT,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,341,https://doi.org/10.1007/s13313-025-01059-w,Australasian Plant Pathology,2025,"Xin Gui, Jiaojiao Lu, Mei Wang, Yanbo Huo, Jing Wang, Mingqing Liu, Zhijun Zhang",Setaria italica,Foxtail millet,1,Oomycete,1,Sclerospora graminicola,1,Field,1,Yes,Index,Ordinal,Index,,,Disease severity index,,No,Plant,,At harvest,,Anova,Duncan's MRT,,,,Not reported,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,6,https://doi.org/10.1080/07060661.2011.588250,Canadian Journal of Plant Pathology,2011,"J. Boulé, P. L. Sholberg, S. M. Lehman, D. T. O'Gorman, A. M. Svircev","Pear, Apple","Pear, Apple",2,Bacteria,1,Erwinia amylovora,1,Laboratory / Greenhouse,2,Yes,Incidence / Index,Continuous,"Severity index 0-5 (0: no necrosis, 5: necrosis extends to peduncle). Incidence = percentage of infected clusters/shoots",0,100,Severity index of 3 replications of 5 detached flowers averaged. Incidence evaluated on potted apple trees.,,Yes,Blossom / Tree,"3 replications of 5 detached blossoms, or 5 replicate potted trees","4-5 days after inoculation (detached), 8 and 20 days after inoculation (potted trees)",Arcsine transformed,Anova,Waller-Duncan k-ratio t test,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Waller–Duncan,1,Multiple-comparison procedure
original article,9,https://doi.org/10.1080/07060661.2011.630758,Canadian Journal of Plant Pathology,2011,"Janice F. Elmhirst, C. Haselhan, Z. K. Punja","Geranium, Rose","Geranium, Rose",2,Fungi,1,Botrytis cinerea / Podosphaera pannosa,2,Greenhouse / Outdoor container,2,Yes,Incidence / Severity,Continuous,Disease incidence = number of leaves with symptoms; Disease severity = per cent leaf area diseased,0,100,Total lesion area rated on a visual scale of 0 to 10 mapped to percentages (0-100%),,Yes,Plant,"4 replicates, 4 plants per plot (geranium) or 3-4 plants per plot (rose)","Prior to first application and every 14 days, up to 14 days after final application",,Anova,Duncan's MRT,4,,4,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,22,https://doi.org/10.1080/07060661.2011.561875,Canadian Journal of Plant Pathology,2011,"S. Banniza, C. L. Armstrong-Cho, Y. Gan, G. Chongo",Chickpea,Chickpea,1,Fungi,1,Ascochyta rabiei,1,Field,1,No,Severity,Continuous,"Assessed using a 0-11 scale, converted to percentage",0,100,Disease severity assessed at 5 arbitrary spots in each plot,Horsfall & Barratt (1945); Shaner & Finney (1977),Yes,Plot,4 replicates,Prior to each fungicide application and 10-14 days after the last treatment,,GLMM / Repeated measures Anova,Fisher LSD,4,,,Parsed replicate count,,GLMM / Repeated-measures ANOVA,Mixed model / ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,44,https://doi.org/10.1080/07060661.2012.751937,Canadian Journal of Plant Pathology,2013,"P. G. Braun, P. D. Hildebrand",Strawberry,Strawberry,1,Bacteria,1,Xanthomonas fragariae,1,Greenhouse,1,Yes,Lesion size,Continuous,Number of lesions/cm2,0,,"Lesion densities evaluated using a 0-7 scale, then converted to lesions/cm2",Hildebrand et al. 2005,Yes,Plant,4 plants per treatment,21 days after inoculation,Log2,Anova,Fisher LSD,,,4,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,65,https://doi.org/10.1080/07060661.2016.1263807,Canadian Journal of Plant Pathology,2016,"Wojciech J. Janisiewicz, Fumiomi Takeda, Breyn Nichols, D. Mike Glenn, Wayne M. Jurick II, Mary J. Camp",Strawberry,Strawberry,1,Fungi,1,Podosphaera aphanis,1,Greenhouse,1,Yes,Incidence,Continuous,percentage of discs containing mildew infections (incidence of infection),0,100,Percentage of disc quadrants infected with powdery mildew,Carisse et al.,No,Leaf disc,six replicates (plants) per treatment,15 weeks,,Anova,,6,,,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,114,https://doi.org/10.1080/07060661.2018.1559224,Canadian Journal of Plant Pathology,2018,"Pervaiz A. Abbasi, Willy Renderos, Sherry Fillmore",Radish,Radish,1,Fungi,1,Rhizoctonia solani,1,Greenhouse,1,Yes,Severity,Ordinal,"using a 1-5 scale: 1, asymptomatic;2, small root/stem lesion;3, large root/stem lesion;4, post-emergence damping-off;and 5, pre-emergence damping-off",1,5,Severity of pre- and post-emergence damping-off on a 1-5 scale,,Yes,Plant,two experiments and three replicates per experiment,2 weeks after planting,,Anova,,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,128,https://doi.org/10.1080/07060661.2019.1641555,Canadian Journal of Plant Pathology,2019,"Emily Rotich, Margaret T. Mmbaga, Jacqueline Joshua",Flowering dogwood,Flowering dogwood,1,Fungi,1,Erysiphe pulchra,1,Greenhouse,1,Yes,Severity,Ordinal,"using a modified Horsfall and Barratt (1945) rating scale of 0 to 5, where 0 = no disease symptoms... 5 = 76-100% of leaves with disease symptoms",0,5,Disease severity based on a 0-5 modified Horsfall and Barratt scale measuring percentage of symptomatic leaves,Horsfall and Barratt 1945,Yes,Plant,40 individual plants per treatment,14 days after inoculation,,,Fisher LSD,,,,"Reported, complex/unparsed",,Not reported,Not reported,Fisher's LSD,1,Multiple-comparison procedure
original article,146,https://doi.org/10.1080/07060661.2019.1686654,Canadian Journal of Plant Pathology,2019,"Saad A. M. Alamri, Mohamed Hashem, Maha S. A. Alqahtani, Ali M. A. Alshehri, Zakaria A. Mohamed, El Sayed H. Ziedan",Peach,Peach,1,Fungi,1,Rhizopus stolonifer,1,Postharvest,1,Yes,Severity,Ordinal,using the following scale: 0 = 0% of fruit surface rotten... 5 = 76-100% rotten,0,5,Disease severity based on a 0-5 scale of fruit surface rotten,Sivakumar et al. 2002,Yes,Fruit,Ten fruits,7 days,,,Fisher LSD,,,,"Reported, complex/unparsed",,Not reported,Not reported,Fisher's LSD,1,Multiple-comparison procedure
original article,153,https://doi.org/10.1080/07060661.2018.1564792,Canadian Journal of Plant Pathology,2019,"Youwei He, Manli Zhu, Junbin Huang, Tom Hsiang, Lu Zheng",Rice,Rice,1,Fungi,1,Magnaporthe oryzae,1,Greenhouse,1,Yes,Index,Ordinal,on a 0-9 scale,0,9,Disease severity based on a 0-9 scale,Prabavathy et al. 2006,Yes,Plant,30 seedlings,6 days,,Anova,Fisher LSD,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,205,https://doi.org/10.1080/07060661.2021.1980822,Canadian Journal of Plant Pathology,2021,"Sai Shiva Krishna Prasad Vurukonda, Davide Giovanardi & Emilio Stefani",Solanum lycopersicum,Tomato,1,Bacteria,1,Xanthomonas vesicatoria,1,Greenhouse,1,Yes,Severity,Ordinal,0=no symptoms to 4=necrotic,0,4,Disease severity evaluated using a descriptive scale ranging from 0 to 4,Vurukonda et al.,No,Plant,"12 plants per replicate, 3 replicates",weekly for three weeks,,,,3,,12,Parsed replicate count,,Not reported,Not reported,Not reported,0,Not reported
original article,208,https://doi.org/10.1080/07060661.2021.1937321,Canadian Journal of Plant Pathology,2021,"T. Talapov, S. Yuceer, O. Dedecan, O. Demirel, C. Can",Sunflower,Sunflower,1,Fungi,1,Macrophomina phaseolina,1,Greenhouse,1,Yes,Severity,Ordinal,Scoring of the cut-stem inoculation method was performed according to the 0-8 scale... All other methods were scored according to the 0-4 scale,0,8,Disease severity scored on 0-8 or 0-4 scales and calculated as a percentage,Viteri and Linares (2017) or Pratt et al.,Yes,Plant,three and four replicates... with 16 repeats,every 3 days,,independent sample t-tests,,4,,,Parsed replicate count,,t-test,t-test,Not reported,0,Not reported
original article,212,https://doi.org/10.1080/07060661.2021.1933602,Canadian Journal of Plant Pathology,2021,"Xing Ge Huang, Mei Ya Li, Xiao Ning Yan, Jang Shun Yang, Meng Chen Rao & Xiao Feng Yuan",Atractylodes macrocephala,White atractylodes,1,Fungi,1,Fusarium oxysporum,1,Greenhouse,1,Yes,Severity,Continuous,Percentage,0,100,Reduced root rot severity evaluated as a percentage,Huang et al.,No,Plant,,60 d,,Anova,Fisher LSD,,,,Not reported,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,215,https://doi.org/10.1080/07060661.2021.1907447,Canadian Journal of Plant Pathology,2021,"Yuefeng Ruan, Ryan Babonich, John M. Clarke, Pierre J. Hucl, Fran R. Clarke, Ron E. Knox, Firdissa E. Bokore, Curtis J. Pozniak",Wheat,Wheat,1,Fungi,1,Fusarium graminearum,1,Greenhouse,1,Yes,Severity,Ordinal,Fusarium head blight severity was rated on a 0 to 5 disease scale (DS) and as percentage of infected spikelets (IS) per spike,0,5,FHB severity rated on a 0 to 5 scale and as percentage of infected spikelets,Murphy et al.,Yes,Spike,four plants for each treatment... 120 spikes inoculated,"day 7, 14 and 21 after inoculation",,Mixed analysis,Fisher LSD,,,120,"Reported, complex/unparsed",,Mixed analysis,Mixed model,Fisher's LSD,1,Multiple-comparison procedure
original article,235,https://doi.org/10.1080/07060661.2021.2024262,Canadian Journal of Plant Pathology,2022,"Saad Z. Morsy, Mohamed F. Shady, Moustafa I. Gouda, Bahnasy A. Kamereldawla & Mohamed A. S. Abdelrazek",Beta vulgaris,Beet,1,Fungi,1,Cercospora beticola,1,Field,1,Yes,Severity,Continuous,Percentage,0,100,Disease severity as average percentage of affected leaf area,Verreet,No,Plot,4 replicates (100 leaves),10-15 d intervals,,Anova,Fisher LSD / Duncan,4,,100,Parsed replicate count,,ANOVA,ANOVA-based,Duncan / Fisher's LSD,2,Multiple-comparison procedure
original article,240,https://doi.org/10.1080/07060661.2022.2056247,Canadian Journal of Plant Pathology,2022,Thomas Thomidis & Ioanna Prodromou,Lactuca sativa,Lettuce,1,Oomycete,1,Bremia lactucae,1,Greenhouse,1,Yes,Severity,Continuous,Percentage,0,100,Percentage of leaf infection (area of disease lesions),Thomidis & Prodromou,No,Plant,3 replicates of 6 plants,,,Anova,Duncan's MRT,3,,6,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,250,https://doi.org/10.1080/07060661.2023.2172082,Canadian Journal of Plant Pathology,2023,Cameron Scott & Zamir K. Punja,Cannabis sativa,Cannabis,1,Fungi,1,Fusarium oxysporum / Pythium myriotylum,2,Greenhouse,1,Yes,Severity,Ordinal,0-4 scale,0,4,"0=no symptoms, 1=minor chlorosis, 2=moderate chlorosis/slight wilting, 3=obvious wilting, 4=extreme wilting/necrosis",Scott & Punja,No,Plant,3 replicate experiments (6 cuttings per treatment),"7, 14, 21 dpi",,Kruskal-Wallis,Conover-Iman,3,,6,Parsed replicate count,,Kruskal–Wallis,Nonparametric,Conover–Iman,1,Nonparametric comparison
original article,260,https://doi.org/10.1080/07060661.2023.2175913,Canadian Journal of Plant Pathology,2023,"Luanna Karoline Rinaldi, Monique Thiara Rodrigues E Silva, Angelica Miamoto, Angelica Calandrelli & Claudia Regina Dias-Arieira",Glycine max,Soybean,1,Nematode,1,Meloidogyne javanica,1,Greenhouse,1,Yes,Index,Discrete,,0,,Gall index / number of nematodes,Taylor and Sasser,No,Plant,6 replicate experimental units,60 days,,Anova,Tukey's HSD,6,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,4,https://doi.org/10.1007/s10658-011-9780-8,European Journal of Plant Pathology,2011,Ioannis O. Giannakou,"Tomato, Cucumber","Tomato, Cucumber",2,Nematode,1,Meloidogyne incognita,1,Laboratory / Greenhouse,2,Yes,Count,Continuous,Number of nematodes per 200 g soil or per g of root,0,,Efficacy assessed by counting nematodes in soil and roots,,No,Plot / Pot,4 replicates,"7, 42, 56, 73 days after transplanting",,Anova,Tukey's HSD,4,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
